sample	Group	SBS_per_Mb
Polk_BM_1	clones	0.02131101327803993
Polk_BM_2	clones	0.02548589746036368
Polk_BM_3	clones	0.023607621314490297
Polk_lung_1	clones	0.09165131782792135
Polk_lung_2	clones	0.12032740236174846
Polk_lung_3	clones	0.15451941945437822
Polk_liver_1	clones	0.2113693358878488
Polk_liver_2	clones	0.2904770236521449
Polk_liver_3	clones	0.35720565975121144
Polk_intestine_1	clones	0.1316623551886073
Polk_intestine_2	clones	0.2668977994937838
Polk_intestine_3	clones	0.10325780063710113
Polk_stomach_1	clones	0.09037494673410981
Polk_stomach_2	clones	0.23809896321268334
Polk_intestine_4	clones	0.2365517108230207
WT_BM_1	clones	0.018827894545655515
WT_BM_2	clones	0.01734039372938387
WT_BM_3	clones	0.015176251841609706
WT_lung_1	clones	0.08014594342088072
WT_lung_2	clones	0.07823737801386456
WT_lung_3	clones	0.05923089862750162
WT_liver_1	clones	0.06718319271886898
WT_liver_2	clones	0.050397294271403506
WT_liver_3	clones	0.07254037506176256
WT_intestine_1	clones	0.08670228459574067
WT_intestine_2	clones	0.23429859961976274
WT_intestine_3	clones	0.1298240340710664
WT_stomach_1	clones	0.06656998506968374
WT_stomach_2	clones	0.09514764146692585
WT_stomach_3	clones	0.0643437618713976
Polk_adrenalgland_1	NanoSeq	0.140271869054991
Polk_adrenalgland_2	NanoSeq	0.131675663444874
Polk_kidney_1	NanoSeq	0.25879087600356
Polk_kidney_2	NanoSeq	0.264003214630611
Polk_kidney_3	NanoSeq	0.27690307708401796
Polk_liver_1	NanoSeq	0.453052006031022
Polk_liver_2	NanoSeq	0.519300047648384
Polk_liver_3	NanoSeq	0.48420525085103705
Polk_lung_1	NanoSeq	0.15956798000171601
Polk_lung_2	NanoSeq	0.209232035870657
Polk_lung_3	NanoSeq	0.18103088899460298
WT_adrenalgland_1	NanoSeq	0.080443421797587
WT_adrenalgland_2	NanoSeq	0.07972598254467321
WT_kidney_1	NanoSeq	0.07718758337683729
WT_kidney_2	NanoSeq	0.0767274952670164
WT_kidney_3	NanoSeq	0.0757948870312986
WT_liver_1	NanoSeq	0.11672717298133099
WT_liver_2	NanoSeq	0.135797344140026
WT_liver_3	NanoSeq	0.12015260708453501
WT_lung_1	NanoSeq	0.10882053747124801
WT_lung_2	NanoSeq	0.10655043371829401
WT_lung_3	NanoSeq	0.121803345818244
