group	Q1	Q2	Q3	Q4	Q5
POLK	0.352020433	0.485667589	0.818154086	0.645232546	0.833998871
sim	0.661691163	0.657417671	0.633558604	0.810729214	0.378264324
sim	0.566353388	0.900330411	0.644752067	0.890507379	0.687363604
sim	0.712955052	0.417532155	0.731298944	0.98892494	0.676048632
sim	0.440466503	0.634594065	0.617534632	0.396426497	0.646423086
sim	0.553139671	0.705087534	0.277046947	0.708116518	0.704376336
sim	0.661274058	0.473511964	0.766880928	0.564168963	0.476653626
sim	0.519089278	0.81532904	0.930148777	0.72699706	0.716998767
sim	0.918394239	0.826939086	0.923025188	0.870345699	0.669085102
sim	0.550959609	0.737728554	0.780070543	0.803673869	0.798598315
sim	0.752273021	0.893477846	0.56996412	0.704100701	0.773313249
sim	0.51669005	0.687917601	0.647976617	0.575804851	0.689795189
sim	0.710174103	0.894175412	0.532264362	0.567597272	0.665545281
sim	0.700847509	0.550985122	0.645706592	0.7042437	0.750444168
sim	0.71121723	0.766146196	0.612593691	0.913947923	0.793574412
sim	0.491448001	0.490129009	0.507029076	0.821698987	0.524335867
sim	0.91830062	0.771638888	0.638834156	0.608360844	0.618323575
sim	0.511582677	0.508875783	0.524965624	0.64232958	0.856375031
sim	0.627188628	0.479634892	0.401502032	0.769732563	0.546928976
sim	0.787567333	0.699205841	0.743579256	0.660593727	0.580256116
sim	0.756475589	0.669694537	0.630178386	0.706802732	0.888990053
sim	0.819717894	0.807895095	0.687285909	0.713607615	0.813199167
sim	0.782380161	0.833112351	0.519238725	0.543095963	0.665480385
sim	0.708529223	0.511254047	0.703246003	0.54819944	0.821553533
sim	0.702749459	0.887445099	0.751363778	0.578649183	0.720048851
sim	0.833009428	0.801507705	0.77732591	0.72579131	0.499238043
sim	0.845565715	0.572942019	0.645245354	0.649395531	0.876089643
sim	0.555283829	0.882043949	0.4634882	0.705895416	0.385111961
sim	0.737834624	0.493139789	0.525160878	0.777293231	0.743830322
sim	0.560583796	0.656055909	0.90041676	0.668592826	0.750322047
sim	0.704462382	0.715330235	0.550118348	0.574198014	0.865921586
sim	0.839766217	0.447927372	0.827565354	0.383109564	0.671036867
