sample	samples	SBS_per_Mb	DBS_per_Mb	ID_per_Mb
WT_7m_1	JG0055b	0.02969293032268806	2.0910514311752153e-4	0.005854944007290603
WT_7m_2	JG0055e	0.05066355583166477	0	0.003559010120406203
WT_7m_3	JG0055f	0.07215500393684939	4.1349572456647203e-4	0.007649670904479734
Polk_7m_1	JG0056c	0.05767022819943936	2.0670332687971096e-4	0.005167583171992774
Polk_7m_2	JG0056d	0.15960366321390687	8.367164519732994e-4	0.007530448067759695
Polk_7m_3	JG0056e	0.1918583757189138	0.001679285564279333	0.005877499474977665
Polk_7m_4	JG0056f	0.16743170945726044	0.0012541701082940855	0.005852793838705732
Polk_7m_5	JG0056g	0.23853821104106324	6.158473606912131e-4	0.008621863049676983
Polk_7m_6	JG0056h	0.18525653009937484	0.0014457031334399375	0.005989341552822598
Xpc_7m_1	JG0057b	0.2374957417208178	0.003073715380338453	0.011680118445286122
Xpc_7m_2	JG0057c	0.26960660895199845	0.002475347595580705	0.01485208557348423
Xpc_7m_3	JG0057d	0.28103105079194024	0.0016422559578783945	0.010879945720944363
Xpc_7m_4	JG0057e	0.26550286003007406	0.0027028482227023985	0.012058861301287624
Xpc_Polk_7m_1	JG0058b	0.4348384970665624	0.0033289071545765546	0.013731742012628287
Xpc_Polk_7m_2	JG0058d	0.45461934137230137	0.003837402583579505	0.011737937314478487
Xpc_Polk_7m_3	JG0058e	0.3558038670884439	0.0029318741255080724	0.012774594403999457
Xpc_Polk_7m_4	JG0058f	0.547445405646623	0.005848329400269151	0.017336119293654983
Xpc_Polk_7m_5	JG0058h	0.511258709989105	0.005869308683761764	0.01907525322222573
Polk_7m_7	JG0102b	0.23298271296690373	0.0010327247915199633	0.0037178092494718675
Polk_7m_8	JG0102c	0.12691272994426028	4.1610731129265667e-4	0.0037449658016339106
Xpa_7m_1	JG0103b	0.09610934081907203	6.268000488200351e-4	0.004178666992133567
Xpa_7m_2	JG0103d	0.1265281054526101	0.0018637527808076772	0.003313338276991426
Xpa_7m_3	JG0103e	0.08348037267426622	0.0014831538292382324	0.004237582369252093
Xpa_Polk_7m_1	JG0104c	0.30668454203007295	0.0020891317576980446	0.0039693503396262845
Xpa_Polk_7m_2	JG0104d	0.2509797393128109	0.003307805460465383	0.0037212811430235556
Xpa_Polk_7m_3	JG0104e	0.2991517044965337	0.00229314895432883	0.005628638342443492
