sample	SBS1	SBS5	SBS8	SBS32	SBS-Polk
WT_7m_1	16	126	0	0	0
WT_7m_2	21	221	0	0	0
WT_7m_3	28	321	0	0	0
Polk_7m_1	26	42	86	0	125
Polk_7m_2	9	11	0	0	743
Polk_7m_3	13	96	0	0	805
Polk_7m_4	3	112	0	0	686
Polk_7m_5	12	75	0	0	1075
Polk_7m_6	23	82	0	0	792
Xpc_7m_1	0	109	771	279	0
Xpc_7m_2	0	243	696	368	0
Xpc_7m_3	10	192	909	258	0
Xpc_7m_4	6	207	805	259	0
Xpc_Polk_7m_1	0	0	821	313	956
Xpc_Polk_7m_2	0	0	582	229	1201
Xpc_Polk_7m_3	0	0	710	291	697
Xpc_Polk_7m_4	0	0	807	400	1413
Xpc_Polk_7m_5	0	0	858	306	1275
Polk_7m_7	0	16	0	0	1112
Polk_7m_8	19	127	0	0	464
Xpa_7m_1	0	0	205	102	151
Xpa_7m_2	7	131	309	0	164
Xpa_7m_3	0	0	159	113	120
Xpa_Polk_7m_1	0	0	260	0	1208
Xpa_Polk_7m_2	0	85	306	0	823
Xpa_Polk_7m_3	4	131	228	0	1072
